Detail,Week_Ending_Date,Value,Measure,Class,Week,Source,Flu_Season
A (H1),6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
A (H3),6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
A (Unk),6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
B,6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
B/Victoria,6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
B/Yamagata,6/25/2005 12:00:00 AM,0,Region,Eastern,25,Labs,2004-05
A (H1),6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
A (H3),6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
A (Unk),6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
B,6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
B/Victoria,6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
B/Yamagata,6/25/2005 12:00:00 AM,0,Region,Northern,25,Labs,2004-05
A (H1),6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
A (H3),6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
A (Unk),6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
B,6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
B/Victoria,6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
B/Yamagata,6/25/2005 12:00:00 AM,0,Region,Northwest,25,Labs,2004-05
A (H1),6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
A (H3),6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
A (Unk),6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
B,6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
B/Victoria,6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
B/Yamagata,6/25/2005 12:00:00 AM,0,Region,Southwest,25,Labs,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,Assisted Living,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,Assisted Living,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,Nursing Home,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,Nursing Home,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,Other Facility Type,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,Other Facility Type,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,Other Health Care,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,Other Health Care,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Facility Type,School (K-12),25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Facility Type,School (K-12),25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Region,Central,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Region,Central,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Region,Eastern,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Region,Eastern,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Region,Northern,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Region,Northern,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Region,Northwest,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Region,Northwest,25,Outbreaks,2004-05
Confirmed,6/25/2005 12:00:00 AM,0,Region,Southwest,25,Outbreaks,2004-05
Suspected,6/25/2005 12:00:00 AM,0,Region,Southwest,25,Outbreaks,2004-05
,6/25/2005 12:00:00 AM,0,,,25,Specimens,2004-05
,7/2/2005 12:00:00 AM,3.000612370,AgeGroup,0-4,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,1.412566975,AgeGroup,05-18,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,0.799507995,AgeGroup,19-24,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,0.503573749,AgeGroup,25-49,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,0.371747212,AgeGroup,50-64,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,0.261506276,AgeGroup,65+,26,ILI by Age,2004-05
,7/2/2005 12:00:00 AM,1.123343069,RegionName,Eastern,26,ILI by Region,2004-05
,7/2/2005 12:00:00 AM,0.791473195,RegionName,Northern,26,ILI by Region,2004-05
,7/2/2005 12:00:00 AM,0.451875282,RegionName,Northwest,26,ILI by Region,2004-05
,7/2/2005 12:00:00 AM,0.836431227,,,26,ILI by Season,2004-05
A (H1),7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
A (H3),7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
A (Unk),7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
B,7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
B/Victoria,7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
B/Yamagata,7/2/2005 12:00:00 AM,0,Region,Central,26,Labs,2004-05
A (H1),7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
A (H3),7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
A (Unk),7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
B,7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
B/Victoria,7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
B/Yamagata,7/2/2005 12:00:00 AM,0,Region,Eastern,26,Labs,2004-05
A (H1),7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
A (H3),7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
A (Unk),7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
B,7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
B/Victoria,7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
B/Yamagata,7/2/2005 12:00:00 AM,0,Region,Northern,26,Labs,2004-05
A (H1),7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
A (H3),7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
A (Unk),7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
B,7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
B/Victoria,7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
B/Yamagata,7/2/2005 12:00:00 AM,0,Region,Northwest,26,Labs,2004-05
A (H1),7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
A (H3),7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
A (Unk),7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
B,7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
B/Victoria,7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
B/Yamagata,7/2/2005 12:00:00 AM,0,Region,Southwest,26,Labs,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,Assisted Living,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,Assisted Living,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,Nursing Home,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,Nursing Home,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,Other Facility Type,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,Other Facility Type,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,Other Health Care,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,Other Health Care,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Facility Type,School (K-12),26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Facility Type,School (K-12),26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Region,Central,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Region,Central,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Region,Eastern,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Region,Eastern,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Region,Northern,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Region,Northern,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Region,Northwest,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Region,Northwest,26,Outbreaks,2004-05
Confirmed,7/2/2005 12:00:00 AM,0,Region,Southwest,26,Outbreaks,2004-05
Suspected,7/2/2005 12:00:00 AM,0,Region,Southwest,26,Outbreaks,2004-05
,7/2/2005 12:00:00 AM,0,,,26,Specimens,2004-05
,7/9/2005 12:00:00 AM,2.544823597,AgeGroup,0-4,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,1.341971310,AgeGroup,05-18,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,0.749711649,AgeGroup,19-24,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,0.437158470,AgeGroup,25-49,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,0.228206298,AgeGroup,50-64,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,0.244379277,AgeGroup,65+,27,ILI by Age,2004-05
,7/9/2005 12:00:00 AM,0,RegionName,Central,27,ILI by Region,2004-05
,7/9/2005 12:00:00 AM,0.727428327,RegionName,Eastern,27,ILI by Region,2004-05
,7/9/2005 12:00:00 AM,0.855920114,RegionName,Northern,27,ILI by Region,2004-05
,7/9/2005 12:00:00 AM,0.295608108,RegionName,Northwest,27,ILI by Region,2004-05
,7/9/2005 12:00:00 AM,0.741531708,,,27,ILI by Season,2004-05
A (H1),7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
A (H3),7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
A (Unk),7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
B,7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
B/Victoria,7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
B/Yamagata,7/9/2005 12:00:00 AM,0,Region,Central,27,Labs,2004-05
A (H1),7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
A (H3),7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
A (Unk),7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
B,7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
B/Victoria,7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
B/Yamagata,7/9/2005 12:00:00 AM,0,Region,Eastern,27,Labs,2004-05
A (H1),7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
A (H3),7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
A (Unk),7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
B,7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
B/Victoria,7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
B/Yamagata,7/9/2005 12:00:00 AM,0,Region,Northern,27,Labs,2004-05
A (H1),7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
A (H3),7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
A (Unk),7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
B,7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
B/Victoria,7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
B/Yamagata,7/9/2005 12:00:00 AM,0,Region,Northwest,27,Labs,2004-05
A (H1),7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
A (H3),7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
A (Unk),7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
B,7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
B/Victoria,7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
B/Yamagata,7/9/2005 12:00:00 AM,0,Region,Southwest,27,Labs,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,Assisted Living,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,Assisted Living,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,Nursing Home,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,Nursing Home,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,Other Facility Type,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,Other Facility Type,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,Other Health Care,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,Other Health Care,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Facility Type,School (K-12),27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Facility Type,School (K-12),27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Region,Central,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Region,Central,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Region,Eastern,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Region,Eastern,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Region,Northern,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Region,Northern,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Region,Northwest,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Region,Northwest,27,Outbreaks,2004-05
Confirmed,7/9/2005 12:00:00 AM,0,Region,Southwest,27,Outbreaks,2004-05
Suspected,7/9/2005 12:00:00 AM,0,Region,Southwest,27,Outbreaks,2004-05
,7/9/2005 12:00:00 AM,0,,,27,Specimens,2004-05
,7/16/2005 12:00:00 AM,2.410423453,AgeGroup,0-4,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,1.222753854,AgeGroup,05-18,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,0.554187192,AgeGroup,19-24,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,0.289263230,AgeGroup,25-49,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,0.334608031,AgeGroup,50-64,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,0.108166577,AgeGroup,65+,28,ILI by Age,2004-05
,7/16/2005 12:00:00 AM,0,RegionName,Central,28,ILI by Region,2004-05
,7/16/2005 12:00:00 AM,0.892652781,RegionName,Eastern,28,ILI by Region,2004-05
,7/16/2005 12:00:00 AM,0.515626644,RegionName,Northern,28,ILI by Region,2004-05
,7/16/2005 12:00:00 AM,0.508905852,RegionName,Northwest,28,ILI by Region,2004-05
,7/16/2005 12:00:00 AM,0.621560376,,,28,ILI by Season,2004-05
A (H1),7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
A (H3),7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
A (Unk),7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
B,7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
B/Victoria,7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
B/Yamagata,7/16/2005 12:00:00 AM,0,Region,Central,28,Labs,2004-05
A (H1),7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
A (H3),7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
A (Unk),7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
B,7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
B/Victoria,7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
B/Yamagata,7/16/2005 12:00:00 AM,0,Region,Eastern,28,Labs,2004-05
A (H1),7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
A (H3),7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
A (Unk),7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
B,7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
B/Victoria,7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
B/Yamagata,7/16/2005 12:00:00 AM,0,Region,Northern,28,Labs,2004-05
A (H1),7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
A (H3),7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
A (Unk),7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
B,7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
B/Victoria,7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
B/Yamagata,7/16/2005 12:00:00 AM,0,Region,Northwest,28,Labs,2004-05
A (H1),7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
A (H3),7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
A (Unk),7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
B,7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
B/Victoria,7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
B/Yamagata,7/16/2005 12:00:00 AM,0,Region,Southwest,28,Labs,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,Assisted Living,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,Assisted Living,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,Nursing Home,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,Nursing Home,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,Other Facility Type,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,Other Facility Type,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,Other Health Care,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,Other Health Care,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Facility Type,School (K-12),28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Facility Type,School (K-12),28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Region,Central,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Region,Central,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Region,Eastern,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Region,Eastern,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Region,Northern,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Region,Northern,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Region,Northwest,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Region,Northwest,28,Outbreaks,2004-05
Confirmed,7/16/2005 12:00:00 AM,0,Region,Southwest,28,Outbreaks,2004-05
Suspected,7/16/2005 12:00:00 AM,0,Region,Southwest,28,Outbreaks,2004-05
,7/16/2005 12:00:00 AM,0,,,28,Specimens,2004-05
,7/23/2005 12:00:00 AM,1.637197119,AgeGroup,0-4,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,1.872469636,AgeGroup,05-18,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,0.751010976,AgeGroup,19-24,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,0.347797284,AgeGroup,25-49,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,0.335088559,AgeGroup,50-64,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,0.156412930,AgeGroup,65+,29,ILI by Age,2004-05
,7/23/2005 12:00:00 AM,0.752711977,RegionName,Eastern,29,ILI by Region,2004-05
,7/23/2005 12:00:00 AM,0.673652695,RegionName,Northern,29,ILI by Region,2004-05
,7/23/2005 12:00:00 AM,0.497512438,RegionName,Northwest,29,ILI by Region,2004-05
,7/23/2005 12:00:00 AM,0.673845960,,,29,ILI by Season,2004-05
A (H1),7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
A (H3),7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
A (Unk),7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
B,7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
B/Victoria,7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
B/Yamagata,7/23/2005 12:00:00 AM,0,Region,Central,29,Labs,2004-05
A (H1),7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
A (H3),7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
A (Unk),7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
B,7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
B/Victoria,7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
B/Yamagata,7/23/2005 12:00:00 AM,0,Region,Eastern,29,Labs,2004-05
A (H1),7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
A (H3),7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
A (Unk),7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
B,7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
B/Victoria,7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
B/Yamagata,7/23/2005 12:00:00 AM,0,Region,Northern,29,Labs,2004-05
A (H1),7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
A (H3),7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
A (Unk),7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
B,7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
B/Victoria,7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
B/Yamagata,7/23/2005 12:00:00 AM,0,Region,Northwest,29,Labs,2004-05
A (H1),7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
A (H3),7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
A (Unk),7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
B,7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
B/Victoria,7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
B/Yamagata,7/23/2005 12:00:00 AM,0,Region,Southwest,29,Labs,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,Assisted Living,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,Assisted Living,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,Daycare / Pre-K,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,Nursing Home,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,Nursing Home,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,Other Facility Type,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,Other Facility Type,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,Other Health Care,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,Other Health Care,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Facility Type,School (K-12),29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Facility Type,School (K-12),29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Region,Central,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Region,Central,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Region,Eastern,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Region,Eastern,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Region,Northern,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Region,Northern,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Region,Northwest,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Region,Northwest,29,Outbreaks,2004-05
Confirmed,7/23/2005 12:00:00 AM,0,Region,Southwest,29,Outbreaks,2004-05
Suspected,7/23/2005 12:00:00 AM,0,Region,Southwest,29,Outbreaks,2004-05
,7/23/2005 12:00:00 AM,0,,,29,Specimens,2004-05
,7/30/2005 12:00:00 AM,2.234993614,AgeGroup,0-4,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,1.400966184,AgeGroup,05-18,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,0.929152149,AgeGroup,19-24,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,0.389990250,AgeGroup,25-49,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,0.386473430,AgeGroup,50-64,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,0.105876125,AgeGroup,65+,30,ILI by Age,2004-05
,7/30/2005 12:00:00 AM,0.985221675,RegionName,Eastern,30,ILI by Region,2004-05
,7/30/2005 12:00:00 AM,0.666236836,RegionName,Northern,30,ILI by Region,2004-05
,7/30/2005 12:00:00 AM,0.397877984,RegionName,Northwest,30,ILI by Region,2004-05
,7/30/2005 12:00:00 AM,0.717225895,,,30,ILI by Season,2004-05
